Date,Time,Type,Capital,Return_Pct,Open,Total_PnL,Cap_INDIAN,Cap_US,Cap_CRYPTO,Cap_INTRADAY,Cap_FADE
2026-08-27,20:55:13 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,20:57:54 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:00:36 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:03:12 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:05:51 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:08:33 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:11:13 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:13:50 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:16:26 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:19:05 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:21:50 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:24:25 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:26:56 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:29:38 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:32:14 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:34:54 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:37:48 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:40:21 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:42:58 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:45:35 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:48:10 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:50:43 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:53:17 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:55:56 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,21:58:36 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:01:11 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:03:49 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:06:25 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:09:11 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:12:01 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:14:36 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:17:17 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:19:57 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:22:33 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:25:06 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:27:35 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:30:08 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:32:43 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:35:18 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:38:11 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:40:50 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:43:22 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:46:04 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:48:39 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:51:10 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:53:47 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:56:25 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,22:59:12 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:01:49 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:04:35 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:07:21 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:10:01 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:12:39 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:15:24 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:17:59 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:20:31 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:23:04 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:25:34 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:28:08 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:30:46 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:33:20 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:35:56 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:38:29 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:41:12 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:43:49 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:46:24 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:49:09 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:51:56 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:54:31 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:57:06 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-27,23:59:49 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:02:26 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:05:02 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:07:40 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:10:14 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:13:05 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:15:44 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:18:17 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:20:50 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:23:21 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:26:02 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:28:40 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:31:15 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:33:44 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:36:17 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:39:07 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:41:43 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:44:20 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:47:00 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:49:33 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:52:08 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
