Date,Time_IST,Mode,Ticker,Direction,TimeFrame,Entry_Price,Qty,SL,Target,MaxHold,Exit_Price,Exit_Time,P&L,P&L_%,Status,Pattern_Rank,Expected_WinRate,Pattern_Factors,Reason,Signal_Indicators
2026-08-06,01:17:18 IST,US,^NYA,LONG,SWING_1d,24537.38,2,24046.63,25518.87,5,24663.74,2026-08-11 01:36:05 IST,242.91,0.49,CLOSED,3,60.9,Range<1%+SMA20<EMA20,#3SW Range<1%+SMA20<EMA20 | Expiry 5d,"{""Volume"": 0.0, ""RSI14"": 67.516396, ""EMA20"": 24059.575665, ""EMA9"": 24230.078069, ""Low"": 24462.867188, ""SMA50"": 23729.883164, ""EMA50"": 23750.915255, ""High"": 24653.005859, ""2Red"": 0.0, ""Close"": 24537.376953, ""SMA20"": 24015.304297, ""Open"": 24462.867188, ""Ret"": 0.003046}"
2026-08-06,20:23:19 IST,US,^NDX,LONG,INTRADAY_1h,29470.96,3,29170.42,30054.37,6,29164.59,2026-08-06 21:16:19 IST,-936.8,-1.06,CLOSED,25,70.0,Close>Open+2Red,#25ID Close>Open+2Red | SL Hit (intraday),"{""EMA9"": 29560.877392, ""2Red"": 1.0, ""SMA50"": 28521.436641, ""SMA20"": 29416.817383, ""Low"": 29128.048828, ""Volume"": 318341795.0, ""RSI14"": 61.700793, ""Close"": 29465.068359, ""EMA20"": 29350.724387, ""EMA50"": 28898.089489, ""Ret"": -0.000211, ""Open"": 29235.292969, ""High"": 29553.318359}"
2026-08-07,05:40:03 IST,US,^NDX,LONG,SWING_1d,29376.27,1,28785.87,30548.27,5,29519.97,2026-08-12 08:36:01 IST,137.82,0.47,CLOSED,45,73.33,Close>Open+2Red,#45SW Close>Open+2Red | Expiry 5d,"{""EMA50"": 28853.454054, ""Close"": 29373.333984, ""Volume"": 1403842000.0, ""RSI14"": 54.354005, ""High"": 29569.755859, ""2Red"": 1.0, ""Ret"": -0.003881, ""Low"": 29123.382812, ""EMA20"": 28873.050214, ""EMA9"": 28901.188038, ""Open"": 29224.375, ""SMA50"": 29374.32582, ""SMA20"": 28794.173633}"
2026-08-07,05:40:03 IST,US,^SOX,LONG,SWING_1d,12049.9,4,11807.72,12530.64,5,12095.16,2026-08-12 08:36:01 IST,171.41,0.36,CLOSED,46,45.96,Price>EMA20+SMA20<SMA50,#46SW Price>EMA20+SMA20<SMA50 | Expiry 5d,"{""EMA50"": 12058.387158, ""Close"": 12048.693359, ""Volume"": 0.0, ""RSI14"": 49.842646, ""High"": 12288.563477, ""2Red"": 0.0, ""Ret"": 0.003315, ""Low"": 11707.776367, ""EMA20"": 11948.724261, ""EMA9"": 11765.648667, ""Open"": 11825.860352, ""SMA50"": 12712.717617, ""SMA20"": 11895.492578}"
2026-08-08,00:37:34 IST,CRYPTO,TRX-USD,SHORT,INTRADAY_1h,0.3268,10000,0.332,0.3173,12,0.3275,2026-08-08 13:01:57 IST,-17.02,-0.52,CLOSED,1,47.24,EMA9>EMA20+Price>SMA20+RSI<50,#1ID EMA9>EMA20+Price>SMA20+RSI<50 | Expiry 12h,"{""2Red"": 1.0, ""RSI14"": 49.4432, ""Ret"": -0.00037, ""High"": 0.327248, ""Open"": 0.327248, ""EMA20"": 0.327188, ""SMA20"": 0.327116, ""EMA50"": 0.327215, ""Low"": 0.326881, ""Volume"": 8043904.0, ""SMA50"": 0.327131, ""Close"": 0.327127, ""EMA9"": 0.327275}"
2026-08-11,00:37:04 IST,US,XLI,LONG,SWING_1d,184.84,270,181.12,192.21,5,186.48,2026-08-16 00:56:05 IST,433.18,0.87,CLOSED,4,61.47,Range<1%+SMA20<EMA20,#4SW Range<1%+SMA20<EMA20 | Expiry 5d,"{""BB_hi"": 187.426515, ""EMA20"": 182.426318, ""high20"": 188.190002, ""Open"": 185.929993, ""EMA200"": 169.225869, ""Volume"": 2553207.0, ""low50"": 169.449997, ""Low"": 184.604996, ""2Red"": 0.0, ""RSI14"": 57.680404, ""EMA9"": 183.784795, ""BB_lo"": 175.728485, ""2Green"": 0.0, ""high50"": 188.190002, ""Close"": 184.820007, ""SMA20"": 181.5775, ""High"": 185.929993, ""EMA50"": 179.890935, ""low20"": 175.960007, ""SMA50"": 179.9484, ""Ret"": -0.001944}"
2026-08-11,00:37:04 IST,US,XLC,LONG,SWING_1d,111.48,448,109.24,115.92,5,112.93,2026-08-16 00:56:05 IST,639.03,1.28,CLOSED,5,54.05,Close>Open+Range<1%,#5SW Close>Open+Range<1% | Expiry 5d,"{""BB_hi"": 114.328202, ""EMA20"": 110.145212, ""high20"": 114.029999, ""Open"": 111.239998, ""EMA200"": 112.120235, ""Volume"": 2138656.0, ""low50"": 105.029999, ""Low"": 110.699997, ""2Red"": 0.0, ""RSI14"": 54.408348, ""EMA9"": 110.582039, ""BB_lo"": 105.636297, ""2Green"": 1.0, ""high50"": 116.839996, ""Close"": 111.464996, ""SMA20"": 109.98225, ""High"": 111.529999, ""EMA50"": 110.809531, ""low20"": 105.254997, ""SMA50"": 110.2619, ""Ret"": 0.001933}"
2026-08-12,00:43:12 IST,US,^NYA,LONG,SWING_1d,24692.08,2,24195.82,25677.2,5,24814.03,2026-08-17 00:56:07 IST,234.03,0.47,CLOSED,3,60.9,Range<1%+SMA20<EMA20,#3SW Range<1%+SMA20<EMA20 | Expiry 5d,"{""Volume"": 0.0, ""BB_lo"": 23536.070627, ""SMA20"": 24158.738281, ""high20"": 24692.689453, ""low20"": 23654.550781, ""low50"": 23051.849609, ""High"": 24782.722656, ""2Red"": 0.0, ""RSI14"": 70.126241, ""high50"": 24692.689453, ""SMA50"": 23835.007969, ""2Green"": 1.0, ""Open"": 24667.884766, ""EMA200"": 22811.837779, ""EMA50"": 23877.553177, ""BB_hi"": 24781.405935, ""Low"": 24667.884766, ""EMA9"": 24462.853514, ""Ret"": 0.000881, ""Close"": 24689.615234, ""EMA20"": 24242.195406}"
2026-08-12,20:06:12 IST,CRYPTO,BTC-USD,SHORT,INTRADAY_1h,63716.78,1,64737.27,61867.14,12,63426.97,2026-08-13 08:06:22 IST,98.66,0.15,CLOSED,1,47.42,EMA9>EMA20+Price>SMA20+RSI<50,#1ID EMA9>EMA20+Price>SMA20+RSI<50 | Expiry 12h,"{""EMA20"": 63854.973973, ""Open"": 64067.238281, ""SMA20"": 63745.882617, ""Close"": 63780.558594, ""EMA9"": 63908.365287, ""High"": 64099.988281, ""EMA50"": 64005.891592, ""Low"": 63770.890625, ""Ret"": -0.004462, ""Volume"": 0.0, ""RSI14"": 47.21763, ""2Red"": 1.0, ""SMA50"": 63913.483359}"
2026-08-13,00:20:31 IST,US,^SOX,LONG,SWING_1d,12489.52,4,12238.5,12987.8,5,12692.89,2026-08-18 00:20:50 IST,803.48,1.61,CLOSED,3,60.59,Price<SMA50+EMA20<EMA50+Close<Open,#3SW Price<SMA50+EMA20<EMA50+Close<Open | Expiry 5d,"{""Low"": 12395.035156, ""EMA9"": 12053.167551, ""Ret"": 0.032219, ""High"": 12531.764648, ""BB_lo"": 10772.578056, ""SMA20"": 11823.573828, ""RSI14"": 54.204587, ""EMA20"": 12045.314772, ""low20"": 10445.44043, ""high50"": 14655.290039, ""2Red"": 0.0, ""SMA50"": 12664.938105, ""Open"": 12518.9375, ""2Green"": 1.0, ""high20"": 12785.400391, ""EMA200"": 9935.883468, ""Close"": 12488.267578, ""low50"": 10445.44043, ""BB_hi"": 12874.569601, ""Volume"": 0.0, ""EMA50"": 12084.798096}"
